Code,GeoFips,GeoName,Year,Results__Data__UNIT_MULT,DataValue
SAGDP2N-1,1000,Alabama,2015,6,"200,402.70"
SAGDP2N-1,1000,Alabama,2016,6,"203,829.80"
SAGDP2N-1,1000,Alabama,2017,6,"210,364.40"
SAGDP2N-1,1000,Alabama,2018,6,"221,735.50"
SAGDP2N-1,1000,Alabama,2019,6,"230,968.20"
SAGDP2N-1,2000,Alaska,2015,6,"50,641.60"
SAGDP2N-1,2000,Alaska,2016,6,"49,363.40"
SAGDP2N-1,2000,Alaska,2017,6,"51,803.10"
SAGDP2N-1,2000,Alaska,2018,6,"54,734.10"
SAGDP2N-1,2000,Alaska,2019,6,"55,406.10"
SAGDP2N-1,4000,Arizona,2015,6,"297,141.20"
SAGDP2N-1,4000,Arizona,2016,6,"311,091.00"
SAGDP2N-1,4000,Arizona,2017,6,"327,495.80"
SAGDP2N-1,4000,Arizona,2018,6,"348,297.10"
SAGDP2N-1,4000,Arizona,2019,6,"366,189.90"
SAGDP2N-1,5000,Arkansas,2015,6,"118,761.20"
SAGDP2N-1,5000,Arkansas,2016,6,"120,374.80"
SAGDP2N-1,5000,Arkansas,2017,6,"123,383.10"
SAGDP2N-1,5000,Arkansas,2018,6,"128,418.90"
SAGDP2N-1,5000,Arkansas,2019,6,"133,180.90"
SAGDP2N-1,6000,California,2015,6,"2,553,772.20"
SAGDP2N-1,6000,California,2016,6,"2,657,797.60"
SAGDP2N-1,6000,California,2017,6,"2,819,110.70"
SAGDP2N-1,6000,California,2018,6,"2,997,732.80"
SAGDP2N-1,6000,California,2019,6,"3,137,469.00"
SAGDP2N-1,8000,Colorado,2015,6,"318,554.90"
SAGDP2N-1,8000,Colorado,2016,6,"329,368.30"
SAGDP2N-1,8000,Colorado,2017,6,"350,004.40"
SAGDP2N-1,8000,Colorado,2018,6,"371,749.60"
SAGDP2N-1,8000,Colorado,2019,6,"390,283.90"
SAGDP2N-1,9000,Connecticut,2015,6,"260,072.60"
SAGDP2N-1,9000,Connecticut,2016,6,"263,696.40"
SAGDP2N-1,9000,Connecticut,2017,6,"268,310.50"
SAGDP2N-1,9000,Connecticut,2018,6,"275,726.90"
SAGDP2N-1,9000,Connecticut,2019,6,"285,640.40"
SAGDP2N-1,10000,Delaware,2015,6,"70,969.40"
SAGDP2N-1,10000,Delaware,2016,6,"69,549.70"
SAGDP2N-1,10000,Delaware,2017,6,"70,774.80"
SAGDP2N-1,10000,Delaware,2018,6,"73,481.30"
SAGDP2N-1,10000,Delaware,2019,6,"75,415.50"
SAGDP2N-1,11000,District of Columbia,2015,6,"125,211.90"
SAGDP2N-1,11000,District of Columbia,2016,6,"129,826.10"
SAGDP2N-1,11000,District of Columbia,2017,6,"134,042.70"
SAGDP2N-1,11000,District of Columbia,2018,6,"140,660.90"
SAGDP2N-1,11000,District of Columbia,2019,6,"146,194.30"
SAGDP2N-1,12000,Florida,2015,6,"895,146.20"
SAGDP2N-1,12000,Florida,2016,6,"938,774.20"
SAGDP2N-1,12000,Florida,2017,6,"985,665.40"
SAGDP2N-1,12000,Florida,2018,6,"1,039,236.40"
SAGDP2N-1,12000,Florida,2019,6,"1,093,350.70"
SAGDP2N-1,13000,Georgia,2015,6,"513,565.60"
SAGDP2N-1,13000,Georgia,2016,6,"539,525.10"
SAGDP2N-1,13000,Georgia,2017,6,"566,473.60"
SAGDP2N-1,13000,Georgia,2018,6,"592,153.40"
SAGDP2N-1,13000,Georgia,2019,6,"616,333.30"
SAGDP2N-1,15000,Hawaii,2015,6,"82,710.00"
SAGDP2N-1,15000,Hawaii,2016,6,"85,843.80"
SAGDP2N-1,15000,Hawaii,2017,6,"89,428.90"
SAGDP2N-1,15000,Hawaii,2018,6,"93,797.90"
SAGDP2N-1,15000,Hawaii,2019,6,"97,281.70"
SAGDP2N-1,16000,Idaho,2015,6,"66,004.30"
SAGDP2N-1,16000,Idaho,2016,6,"69,029.40"
SAGDP2N-1,16000,Idaho,2017,6,"72,723.20"
SAGDP2N-1,16000,Idaho,2018,6,"77,052.00"
SAGDP2N-1,16000,Idaho,2019,6,"80,911.00"
SAGDP2N-1,17000,Illinois,2015,6,"792,999.40"
