Series ID,year,period,label,value
LNS13000050Q,2010,Q01,2010 Qtr1,4599
LNS13000050Q,2010,Q02,2010 Qtr2,4613
LNS13000050Q,2010,Q03,2010 Qtr3,4547
LNS13000050Q,2010,Q04,2010 Qtr4,4662
LNS13000050Q,2011,Q01,2011 Qtr1,4410
LNS13000050Q,2011,Q02,2011 Qtr2,4553
LNS13000050Q,2011,Q03,2011 Qtr3,4524
LNS13000050Q,2011,Q04,2011 Qtr4,4477
LNS13000050Q,2012,Q01,2012 Qtr1,4378
LNS13000050Q,2012,Q02,2012 Qtr2,4301
LNS13000050Q,2012,Q03,2012 Qtr3,4180
LNS13000050Q,2012,Q04,2012 Qtr4,4073
LNS13000050Q,2013,Q01,2013 Qtr1,3988
LNS13000050Q,2013,Q02,2013 Qtr2,3771
LNS13000050Q,2013,Q03,2013 Qtr3,3543
LNS13000050Q,2013,Q04,2013 Qtr4,3556
LNS13000050Q,2014,Q01,2014 Qtr1,3376
LNS13000050Q,2014,Q02,2014 Qtr2,3209
LNS13000050Q,2014,Q03,2014 Qtr3,3161
LNS13000050Q,2014,Q04,2014 Qtr4,2953
LNS13000050Q,2015,Q01,2015 Qtr1,2803
LNS13000050Q,2015,Q02,2015 Qtr2,2829
LNS13000050Q,2015,Q03,2015 Qtr3,2671
LNS13000050Q,2015,Q04,2015 Qtr4,2647
LNS13000050Q,2016,Q01,2016 Qtr1,2666
LNS13000050Q,2016,Q02,2016 Qtr2,2591
LNS13000050Q,2016,Q03,2016 Qtr3,2587
LNS13000050Q,2016,Q04,2016 Qtr4,2588
LNS13000050Q,2017,Q01,2017 Qtr1,2518
LNS13000050Q,2017,Q02,2017 Qtr2,2510
LNS13000050Q,2017,Q03,2017 Qtr3,2385
LNS13000050Q,2017,Q04,2017 Qtr4,2221
LNS13000050Q,2018,Q01,2018 Qtr1,2217
LNS13000050Q,2018,Q02,2018 Qtr2,2102
LNS13000050Q,2018,Q03,2018 Qtr3,2099
LNS13000050Q,2018,Q04,2018 Qtr4,2077
LNS13000050Q,2019,Q01,2019 Qtr1,2065
LNS13000050Q,2019,Q02,2019 Qtr2,1985
LNS13000050Q,2019,Q03,2019 Qtr3,1993
LNS13000050Q,2019,Q04,2019 Qtr4,2004
LNS13000050Q,2020,Q01,2020 Qtr1,2058
LNS13000060,2010,M01,2010 Jan,9034
LNS13000060,2010,M02,2010 Feb,9014
LNS13000060,2010,M03,2010 Mar,9178
LNS13000060,2010,M04,2010 Apr,9058
LNS13000060,2010,M05,2010 May,8939
LNS13000060,2010,M06,2010 Jun,8714
LNS13000060,2010,M07,2010 Jul,8571
LNS13000060,2010,M08,2010 Aug,8726
LNS13000060,2010,M09,2010 Sep,8754
LNS13000060,2010,M10,2010 Oct,8548
LNS13000060,2010,M11,2010 Nov,8993
LNS13000060,2010,M12,2010 Dec,8565
LNS13000060,2011,M01,2011 Jan,8122
LNS13000060,2011,M02,2011 Feb,8113
LNS13000060,2011,M03,2011 Mar,8051
LNS13000060,2011,M04,2011 Apr,8260
LNS13000060,2011,M05,2011 May,8188
LNS13000060,2011,M06,2011 Jun,8362
LNS13000060,2011,M07,2011 Jul,8036
LNS13000060,2011,M08,2011 Aug,8170
LNS13000060,2011,M09,2011 Sep,8192
LNS13000060,2011,M10,2011 Oct,7954
LNS13000060,2011,M11,2011 Nov,7701
LNS13000060,2011,M12,2011 Dec,7655
