state,latitude,longitude,pop_1990,pop_2000,pop_2010,pop_2018
Alabama,32.806671,-86.79113,4040389,4447207,4780138,4887871
Alaska,61.370716,-152.404419,550043,626933,710249,737438
Arizona,33.729759,-111.431221,3665339,5130247,6392288,7171646
Arkansas,34.969704,-92.373123,2350624,2673293,2916028,3013825
California,36.116203,-119.681564,29811427,33871653,37254523,39557045
Colorado,39.059811,-105.311104,3294473,4302086,5029316,5695564
Connecticut,41.597782,-72.755371,3287116,3405650,3574147,3572665
Delaware,39.318523,-75.507141,666168,783559,897934,967171
District of Columbia,38.897438,-77.026817,606900,572086,601766,702455
Florida,27.766279,-81.686783,12938071,15982571,18804580,21299325
Georgia,33.040619,-83.643074,6478149,8186653,9688709,10519475
Hawaii,21.094318,-157.498337,1108229,1211497,1360307,1420491
Idaho,44.240459,-114.478828,1006734,1293957,1567657,1754208
Illinois,40.349457,-88.986137,11430602,12419927,12831572,12741080
Indiana,39.849426,-86.258278,5544156,6080827,6484061,6691878
Iowa,42.011539,-93.210526,2776831,2926538,3046872,3156145
Kansas,38.5266,-96.726486,2477588,2688925,2853126,2911505
Kentucky,37.66814,-84.670067,3686892,4042193,4339333,4468402
Louisiana,31.169546,-91.867805,4221826,4469035,4533485,4659978
Maine,44.693947,-69.381927,1227928,1274779,1328369,1338404
Maryland,39.063946,-76.802101,4780753,5296647,5773798,6042718
Massachusetts,42.230171,-71.530106,6016425,6349364,6547790,6902149
Michigan,43.326618,-84.536095,9295287,9938823,9884117,9995915
Minnesota,45.694454,-93.900192,4375665,4919631,5303925,5611179
Mississippi,32.741646,-89.678696,2575475,2844754,2968118,2986530
Missouri,38.456085,-92.288368,5116901,5596564,5988952,6126452
Montana,46.921925,-110.454353,799065,902200,989409,1062305
Nebraska,41.12537,-98.268082,1578417,1711230,1826305,1929268
Nevada,38.313515,-117.055374,1201675,1998250,2700679,3034392
New Hampshire,43.452492,-71.563896,1109252,1235807,1316464,1356458
New Jersey,40.298904,-74.521011,7747750,8414764,8791962,8908520
New Mexico,34.840515,-106.248482,1515069,1819017,2059180,2095428
New York,42.165726,-74.948051,17990778,18977026,19378124,19542209
North Carolina,35.630066,-79.806419,6632448,8046346,9535736,10383620
North Dakota,47.528912,-99.784012,638800,642237,672576,760077
Ohio,40.388783,-82.764915,10847115,11353336,11536757,11689442
Oklahoma,35.565342,-96.928917,3145576,3450451,3751583,3943079
Oregon,44.572021,-122.070938,2842337,3421524,3831075,4190713
Pennsylvania,40.590752,-77.209755,11882842,12280548,12702873,12807060
Rhode Island,41.680893,-71.51178,1003464,1048259,1052957,1057315
South Carolina,33.856892,-80.945007,3486310,4012023,4625381,5084127
South Dakota,44.299782,-99.438828,696004,754858,814198,882235
Tennessee,35.747845,-86.692345,4877203,5689427,6346286,6770010
Texas,31.054487,-97.563461,16986335,20851028,25146114,28701845
Utah,40.150032,-111.862434,1722850,2233183,2763891,3161105
Vermont,44.045876,-72.710686,562758,608613,625744,626299
Virginia,37.769337,-78.169968,6189197,7079057,8001055,8517685
Washington,47.400902,-121.490494,4866669,5894281,6724540,7535591
West Virginia,38.491226,-80.954453,1793477,1808193,1853001,1805832
Wisconsin,44.268543,-89.616508,4891954,5363757,5687282,5813568
Wyoming,42.755966,-107.30249,453589,493786,563773,577737
