Series ID,year,period,label,value
LNS14000000Q,2010,Q01,2010 Qtr1,9.8
LNS14000000Q,2010,Q02,2010 Qtr2,9.7
LNS14000000Q,2010,Q03,2010 Qtr3,9.5
LNS14000000Q,2010,Q04,2010 Qtr4,9.5
LNS14000000Q,2011,Q01,2011 Qtr1,9
LNS14000000Q,2011,Q02,2011 Qtr2,9.1
LNS14000000Q,2011,Q03,2011 Qtr3,9
LNS14000000Q,2011,Q04,2011 Qtr4,8.7
LNS14000000Q,2012,Q01,2012 Qtr1,8.3
LNS14000000Q,2012,Q02,2012 Qtr2,8.2
LNS14000000Q,2012,Q03,2012 Qtr3,8
LNS14000000Q,2012,Q04,2012 Qtr4,7.8
LNS14000000Q,2013,Q01,2013 Qtr1,7.7
LNS14000000Q,2013,Q02,2013 Qtr2,7.5
LNS14000000Q,2013,Q03,2013 Qtr3,7.3
LNS14000000Q,2013,Q04,2013 Qtr4,7
LNS14000000Q,2014,Q01,2014 Qtr1,6.6
LNS14000000Q,2014,Q02,2014 Qtr2,6.2
LNS14000000Q,2014,Q03,2014 Qtr3,6.1
LNS14000000Q,2014,Q04,2014 Qtr4,5.7
LNS14000000Q,2015,Q01,2015 Qtr1,5.5
LNS14000000Q,2015,Q02,2015 Qtr2,5.4
LNS14000000Q,2015,Q03,2015 Qtr3,5.1
LNS14000000Q,2015,Q04,2015 Qtr4,5
LNS14000000Q,2016,Q01,2016 Qtr1,4.9
LNS14000000Q,2016,Q02,2016 Qtr2,4.9
LNS14000000Q,2016,Q03,2016 Qtr3,4.9
LNS14000000Q,2016,Q04,2016 Qtr4,4.8
LNS14000000Q,2017,Q01,2017 Qtr1,4.6
LNS14000000Q,2017,Q02,2017 Qtr2,4.4
LNS14000000Q,2017,Q03,2017 Qtr3,4.3
LNS14000000Q,2017,Q04,2017 Qtr4,4.1
LNS14000000Q,2018,Q01,2018 Qtr1,4.1
LNS14000000Q,2018,Q02,2018 Qtr2,3.9
LNS14000000Q,2018,Q03,2018 Qtr3,3.8
LNS14000000Q,2018,Q04,2018 Qtr4,3.8
LNS14000000Q,2019,Q01,2019 Qtr1,3.9
LNS14000000Q,2019,Q02,2019 Qtr2,3.6
LNS14000000Q,2019,Q03,2019 Qtr3,3.6
LNS14000000Q,2019,Q04,2019 Qtr4,3.5
LNS14000000Q,2020,Q01,2020 Qtr1,3.8
LNS14000004Q,2010,Q01,2010 Qtr1,9.9
LNS14000004Q,2010,Q02,2010 Qtr2,9.6
LNS14000004Q,2010,Q03,2010 Qtr3,9.3
LNS14000004Q,2010,Q04,2010 Qtr4,9.4
LNS14000004Q,2011,Q01,2011 Qtr1,8.5
LNS14000004Q,2011,Q02,2011 Qtr2,8.5
LNS14000004Q,2011,Q03,2011 Qtr3,8.3
LNS14000004Q,2011,Q04,2011 Qtr4,8
LNS14000004Q,2012,Q01,2012 Qtr1,7.5
LNS14000004Q,2012,Q02,2012 Qtr2,7.5
LNS14000004Q,2012,Q03,2012 Qtr3,7.4
LNS14000004Q,2012,Q04,2012 Qtr4,7
LNS14000004Q,2013,Q01,2013 Qtr1,7
LNS14000004Q,2013,Q02,2013 Qtr2,7
LNS14000004Q,2013,Q03,2013 Qtr3,6.8
LNS14000004Q,2013,Q04,2013 Qtr4,6.3
LNS14000004Q,2014,Q01,2014 Qtr1,5.8
LNS14000004Q,2014,Q02,2014 Qtr2,5.5
LNS14000004Q,2014,Q03,2014 Qtr3,5.2
LNS14000004Q,2014,Q04,2014 Qtr4,4.8
LNS14000004Q,2015,Q01,2015 Qtr1,4.9
LNS14000004Q,2015,Q02,2015 Qtr2,4.8
LNS14000004Q,2015,Q03,2015 Qtr3,4.5
LNS14000004Q,2015,Q04,2015 Qtr4,4.5
LNS14000004Q,2016,Q01,2016 Qtr1,4.3
LNS14000004Q,2016,Q02,2016 Qtr2,4.3
LNS14000004Q,2016,Q03,2016 Qtr3,4.5
LNS14000004Q,2016,Q04,2016 Qtr4,4.5
LNS14000004Q,2017,Q01,2017 Qtr1,4.1
LNS14000004Q,2017,Q02,2017 Qtr2,3.8
LNS14000004Q,2017,Q03,2017 Qtr3,3.7
LNS14000004Q,2017,Q04,2017 Qtr4,3.7
LNS14000004Q,2018,Q01,2018 Qtr1,3.7
LNS14000004Q,2018,Q02,2018 Qtr2,3.6
LNS14000004Q,2018,Q03,2018 Qtr3,3.3
LNS14000004Q,2018,Q04,2018 Qtr4,3.3
LNS14000004Q,2019,Q01,2019 Qtr1,3.5
LNS14000004Q,2019,Q02,2019 Qtr2,3.2
LNS14000004Q,2019,Q03,2019 Qtr3,3.3
LNS14000004Q,2019,Q04,2019 Qtr4,3.2
LNS14000004Q,2020,Q01,2020 Qtr1,3.5
LNS14000005,2010,M01,2010 Jan,7.4
LNS14000005,2010,M02,2010 Feb,7.8
LNS14000005,2010,M03,2010 Mar,7.8
LNS14000005,2010,M04,2010 Apr,7.8
LNS14000005,2010,M05,2010 May,7.9
LNS14000005,2010,M06,2010 Jun,7.6
LNS14000005,2010,M07,2010 Jul,7.6
LNS14000005,2010,M08,2010 Aug,7.7
LNS14000005,2010,M09,2010 Sep,7.7
LNS14000005,2010,M10,2010 Oct,7.8
LNS14000005,2010,M11,2010 Nov,8.1
LNS14000005,2010,M12,2010 Dec,7.7
LNS14000005,2011,M01,2011 Jan,7.5
LNS14000005,2011,M02,2011 Feb,7.6
LNS14000005,2011,M03,2011 Mar,7.4
LNS14000005,2011,M04,2011 Apr,7.5
LNS14000005,2011,M05,2011 May,7.5
LNS14000005,2011,M06,2011 Jun,7.6
LNS14000005,2011,M07,2011 Jul,7.4
LNS14000005,2011,M08,2011 Aug,7.5
LNS14000005,2011,M09,2011 Sep,7.5
LNS14000005,2011,M10,2011 Oct,7.4
LNS14000005,2011,M11,2011 Nov,7.4
LNS14000005,2011,M12,2011 Dec,7.2
LNS14000005,2012,M01,2012 Jan,7.2
LNS14000005,2012,M02,2012 Feb,7.3
LNS14000005,2012,M03,2012 Mar,7.1
LNS14000005,2012,M04,2012 Apr,7.4
LNS14000005,2012,M05,2012 May,7.2
LNS14000005,2012,M06,2012 Jun,7
LNS14000005,2012,M07,2012 Jul,7.2
LNS14000005,2012,M08,2012 Aug,6.9
LNS14000005,2012,M09,2012 Sep,6.7
LNS14000005,2012,M10,2012 Oct,6.7
LNS14000005,2012,M11,2012 Nov,6.7
LNS14000005,2012,M12,2012 Dec,6.8
LNS14000005,2013,M01,2013 Jan,6.9
LNS14000005,2013,M02,2013 Feb,6.6
LNS14000005,2013,M03,2013 Mar,6.7
LNS14000005,2013,M04,2013 Apr,6.3
LNS14000005,2013,M05,2013 May,6.3
LNS14000005,2013,M06,2013 Jun,6.4
LNS14000005,2013,M07,2013 Jul,6.1
LNS14000005,2013,M08,2013 Aug,5.9
LNS14000005,2013,M09,2013 Sep,5.9
LNS14000005,2013,M10,2013 Oct,5.9
LNS14000005,2013,M11,2013 Nov,5.8
LNS14000005,2013,M12,2013 Dec,5.8
LNS14000005,2014,M01,2014 Jan,5.5
LNS14000005,2014,M02,2014 Feb,5.6
LNS14000005,2014,M03,2014 Mar,5.8
LNS14000005,2014,M04,2014 Apr,5.1
LNS14000005,2014,M05,2014 May,5.3
LNS14000005,2014,M06,2014 Jun,5.2
LNS14000005,2014,M07,2014 Jul,5.2
LNS14000005,2014,M08,2014 Aug,5.1
LNS14000005,2014,M09,2014 Sep,5.2
LNS14000005,2014,M10,2014 Oct,5.1
LNS14000005,2014,M11,2014 Nov,4.9
LNS14000005,2014,M12,2014 Dec,4.7
LNS14000005,2015,M01,2015 Jan,4.8
LNS14000005,2015,M02,2015 Feb,4.6
LNS14000005,2015,M03,2015 Mar,4.6
LNS14000005,2015,M04,2015 Apr,4.6
LNS14000005,2015,M05,2015 May,4.8
LNS14000005,2015,M06,2015 Jun,4.5
LNS14000005,2015,M07,2015 Jul,4.5
LNS14000005,2015,M08,2015 Aug,4.3
LNS14000005,2015,M09,2015 Sep,4.2
LNS14000005,2015,M10,2015 Oct,4.3
LNS14000005,2015,M11,2015 Nov,4.3
LNS14000005,2015,M12,2015 Dec,4.3
LNS14000005,2016,M01,2016 Jan,4.2
LNS14000005,2016,M02,2016 Feb,4.3
LNS14000005,2016,M03,2016 Mar,4.3
LNS14000005,2016,M04,2016 Apr,4.4
LNS14000005,2016,M05,2016 May,4.2
LNS14000005,2016,M06,2016 Jun,4.3
LNS14000005,2016,M07,2016 Jul,3.9
LNS14000005,2016,M08,2016 Aug,4.2
LNS14000005,2016,M09,2016 Sep,4.2
LNS14000005,2016,M10,2016 Oct,4.2
LNS14000005,2016,M11,2016 Nov,4
LNS14000005,2016,M12,2016 Dec,4.1
LNS14000005,2017,M01,2017 Jan,4.2
LNS14000005,2017,M02,2017 Feb,4
LNS14000005,2017,M03,2017 Mar,3.9
LNS14000005,2017,M04,2017 Apr,4
LNS14000005,2017,M05,2017 May,3.8
LNS14000005,2017,M06,2017 Jun,3.7
LNS14000005,2017,M07,2017 Jul,3.7
LNS14000005,2017,M08,2017 Aug,3.8
LNS14000005,2017,M09,2017 Sep,3.7
LNS14000005,2017,M10,2017 Oct,3.4
LNS14000005,2017,M11,2017 Nov,3.6
LNS14000005,2017,M12,2017 Dec,3.7
LNS14000005,2018,M01,2018 Jan,3.3
LNS14000005,2018,M02,2018 Feb,3.6
LNS14000005,2018,M03,2018 Mar,3.5
LNS14000005,2018,M04,2018 Apr,3.4
LNS14000005,2018,M05,2018 May,3.5
LNS14000005,2018,M06,2018 Jun,3.5
LNS14000005,2018,M07,2018 Jul,3.4
LNS14000005,2018,M08,2018 Aug,3.4
LNS14000005,2018,M09,2018 Sep,3.2
LNS14000005,2018,M10,2018 Oct,3.4
LNS14000005,2018,M11,2018 Nov,3.5
LNS14000005,2018,M12,2018 Dec,3.4
LNS14000005,2019,M01,2019 Jan,3.4
LNS14000005,2019,M02,2019 Feb,3.2
LNS14000005,2019,M03,2019 Mar,3.3
LNS14000005,2019,M04,2019 Apr,3
LNS14000005,2019,M05,2019 May,3.3
LNS14000005,2019,M06,2019 Jun,3.3
LNS14000005,2019,M07,2019 Jul,3.3
LNS14000005,2019,M08,2019 Aug,3.5
LNS14000005,2019,M09,2019 Sep,3.2
LNS14000005,2019,M10,2019 Oct,3.2
LNS14000005,2019,M11,2019 Nov,3.2
LNS14000005,2019,M12,2019 Dec,3.2
LNS14000005,2020,M01,2020 Jan,2.9
LNS14000005,2020,M02,2020 Feb,3
LNS14000005,2020,M03,2020 Mar,3.9
LNS14000005Q,2010,Q01,2010 Qtr1,7.7
LNS14000005Q,2010,Q02,2010 Qtr2,7.8
LNS14000005Q,2010,Q03,2010 Qtr3,7.6
LNS14000005Q,2010,Q04,2010 Qtr4,7.9
LNS14000005Q,2011,Q01,2011 Qtr1,7.5
LNS14000005Q,2011,Q02,2011 Qtr2,7.5
LNS14000005Q,2011,Q03,2011 Qtr3,7.5
LNS14000005Q,2011,Q04,2011 Qtr4,7.3
LNS14000005Q,2012,Q01,2012 Qtr1,7.2
LNS14000005Q,2012,Q02,2012 Qtr2,7.2
LNS14000005Q,2012,Q03,2012 Qtr3,6.9
LNS14000005Q,2012,Q04,2012 Qtr4,6.7
LNS14000005Q,2013,Q01,2013 Qtr1,6.7
LNS14000005Q,2013,Q02,2013 Qtr2,6.4
LNS14000005Q,2013,Q03,2013 Qtr3,6
LNS14000005Q,2013,Q04,2013 Qtr4,5.8
LNS14000005Q,2014,Q01,2014 Qtr1,5.6
LNS14000005Q,2014,Q02,2014 Qtr2,5.2
LNS14000005Q,2014,Q03,2014 Qtr3,5.2
LNS14000005Q,2014,Q04,2014 Qtr4,4.9
LNS14000005Q,2015,Q01,2015 Qtr1,4.7
LNS14000005Q,2015,Q02,2015 Qtr2,4.6
LNS14000005Q,2015,Q03,2015 Qtr3,4.4
LNS14000005Q,2015,Q04,2015 Qtr4,4.3
LNS14000005Q,2016,Q01,2016 Qtr1,4.3
LNS14000005Q,2016,Q02,2016 Qtr2,4.3
LNS14000005Q,2016,Q03,2016 Qtr3,4.1
LNS14000005Q,2016,Q04,2016 Qtr4,4.1
LNS14000005Q,2017,Q01,2017 Qtr1,4
LNS14000005Q,2017,Q02,2017 Qtr2,3.8
LNS14000005Q,2017,Q03,2017 Qtr3,3.7
LNS14000005Q,2017,Q04,2017 Qtr4,3.6
LNS14000005Q,2018,Q01,2018 Qtr1,3.5
LNS14000005Q,2018,Q02,2018 Qtr2,3.5
LNS14000005Q,2018,Q03,2018 Qtr3,3.3
LNS14000005Q,2018,Q04,2018 Qtr4,3.4
LNS14000005Q,2019,Q01,2019 Qtr1,3.3
LNS14000005Q,2019,Q02,2019 Qtr2,3.2
LNS14000005Q,2019,Q03,2019 Qtr3,3.3
LNS14000005Q,2019,Q04,2019 Qtr4,3.2
LNS14000005Q,2020,Q01,2020 Qtr1,3.3
LNS14000006Q,2010,Q01,2010 Qtr1,16.5
LNS14000006Q,2010,Q02,2010 Qtr2,15.8
